timestamp;voltage;event;tput_app_1;tput_app_2;current_apps_number
0.0;3.3;VOn= 3.74;0.0;0.0;1
268.0;4.709106542899407; app_1 done;3.73;0.0;1
496.0;5.0; app_1 done;4.03;0.0;1
724.0;5.0; app_1 done;4.14;0.0;1
951.0;5.0; app_1 done;4.21;0.0;1
1179.0;5.0; app_1 done;4.24;0.0;1
1407.0;5.0; app_1 done;4.26;0.0;1
1635.0;5.0; app_1 done;4.28;0.0;1
1863.0;5.0; app_2 ON;3.76;0.0;2
1863.0;5.0;VOn= 3.86;3.76;0.0;2
1863.0;5.0; app_1 done;4.29;0.0;2
2092.0;4.590132802966272; app_1 done;4.3;0.0;2
2320.0;3.373444479957703; app_1 done;4.31;0.0;2
2504.0;1.879995473012977;PF;3.99;0.0;0
4825.0;3.8606057566641985;On;2.07;0.0;2
4874.0;4.03080726360645; app_1 done;2.26;0.0;2
5101.0;4.552944118999292; app_1 done;2.35;0.0;2
5329.0;4.883400454392063; app_1 done;2.44;0.0;2
5557.0;5.0; app_2 OFF;2.34;0.0;1
5557.0;5.0;VOn= 3.74;2.34;0.0;1
5557.0;5.0; app_1 done;2.52;0.0;1
5785.0;5.0; app_1 done;2.59;0.0;1
6013.0;5.0; app_1 done;2.66;0.0;1
6241.0;4.8969158340977055; app_1 done;2.72;0.0;1
6469.0;4.839699374199803; app_1 done;2.78;0.0;1
6697.0;4.2990722033864195; app_1 done;2.84;0.0;1
6924.0;4.542657527624074; app_1 done;2.89;0.0;1
7152.0;4.278178570115537; app_1 done;2.94;0.0;1
7380.0;4.417283397109064; app_1 done;2.98;0.0;1
7608.0;3.808568140134383; app_1 done;3.02;0.0;1
7835.0;3.815814184834568; app_1 done;3.06;0.0;1
8063.0;3.55690838766563; app_2 ON;2.98;0.0;2
8063.0;3.55690838766563;VOn= 3.86;2.98;0.0;2
8063.0;3.55690838766563; app_1 done;3.1;0.0;2
8291.0;3.5389586293657933; app_1 done;3.14;0.0;2
8519.0;3.6778357721939705; app_1 done;3.17;0.0;2
8746.0;3.9173974166876286; app_1 done;3.2;0.0;2
8974.0;4.1596009117285515; app_1 done;3.23;0.0;2
9202.0;4.209638527876421; app_1 done;3.26;0.0;2
9430.0;3.610832998545229; app_1 done;3.29;0.0;2
9657.0;3.234217345183338; app_1 done;3.31;0.0;2
9885.0;3.299040817149394; app_1 done;3.34;0.0;2
9998.0;3.423551453772639; app_2 done;3.3;0.1;2
10227.0;3.78992514649262; app_1 done;3.32;0.1;2
10455.0;4.116663206232803; app_1 done;3.35;0.1;2
10683.0;4.453532302430461; app_1 done;3.37;0.09;2
10912.0;4.506372709312742; app_1 done;3.39;0.09;2
11140.0;4.599254968637446; app_1 done;3.41;0.09;2
11369.0;5.0; app_1 done;3.43;0.09;2
11598.0;5.0; app_1 done;3.45;0.09;2
11826.0;5.0; app_1 done;3.47;0.08;2
11940.0;4.787747097991017; app_2 done;3.43;0.17;2
12169.0;5.0; app_1 done;3.45;0.16;2
12397.0;5.0; app_1 done;3.47;0.16;2
12626.0;5.0; app_1 done;3.48;0.16;2
12854.0;5.0; app_1 done;3.5;0.16;2
13083.0;5.0; app_1 done;3.52;0.15;2
13312.0;5.0; app_1 done;3.53;0.15;2
13541.0;5.0; app_1 done;3.54;0.15;2
13769.0;5.0; app_1 done;3.56;0.15;2
13883.0;5.0; app_2 done;3.53;0.22;2
14112.0;5.0; app_1 done;3.54;0.21;2
14340.0;5.0; app_1 done;3.56;0.21;2
14569.0;4.480030569240847; app_1 done;3.57;0.21;2
14797.0;4.754180415980758; app_1 done;3.58;0.2;2
15026.0;5.0; app_1 done;3.59;0.2;2
15254.0;5.0; app_1 done;3.61;0.2;2
15483.0;5.0; app_1 done;3.62;0.19;2
15712.0;5.0; app_1 done;3.63;0.19;2
15826.0;5.0; app_2 done;3.6;0.25;2
16055.0;5.0; app_1 done;3.61;0.25;2
16283.0;5.0; app_1 done;3.62;0.25;2
16511.0;5.0; app_1 done;3.63;0.24;2
16740.0;5.0; app_1 done;3.64;0.24;2
16969.0;5.0; app_1 done;3.65;0.24;2
17197.0;5.0; app_1 done;3.66;0.23;2
17426.0;5.0; app_1 done;3.67;0.23;2
17655.0;5.0; app_1 done;3.68;0.23;2
17768.0;5.0; app_2 done;3.66;0.28;2
17998.0;5.0; app_1 done;3.67;0.28;2
18226.0;5.0; app_1 done;3.68;0.27;2
18454.0;5.0; app_1 done;3.68;0.27;2
18683.0;5.0; app_1 done;3.69;0.27;2
18912.0;5.0; app_1 done;3.7;0.26;2
19140.0;5.0; app_1 done;3.71;0.26;2
19369.0;5.0; app_1 done;3.72;0.26;2
19598.0;5.0; app_1 done;3.72;0.26;2
19711.0;5.0; app_2 done;3.7;0.3;2
19940.0;4.646767006722744; app_1 done;3.71;0.3;2
20168.0;3.449714295561471; app_1 done;3.72;0.3;2
20365.0;1.879988964933425;PF;3.68;0.29;0
25387.0;3.8618831489160743;On;2.95;0.24;2
25436.0;4.045170370794699; app_1 done;2.99;0.24;2
25665.0;4.628311396776749; app_1 done;3.0;0.23;2
25893.0;4.918015985665897; app_1 done;3.01;0.23;2
